Year,Region,Season,Found dead,Respiratory,Wasting,Abnormal faeces or other GIT,Musculoskeletal &/or Lame,Non-specific,Nervous,Recumbent,Egg drop/total,Skin,Other/Unknown,Mean temperature,rainfall,Rain days >= 1mm,Sunshine,Days of air frost,No of Marek’s Disease Diagnoses ,,
2012,East Midlands,Winter,0,0,0,0,1,0,0,0,0,0,0,4.22,185.3,33.4,189.2,28.4,1.0000,,
2012,South East,Winter,1,0,0,0,0,0,1,0,0,0,0,5.4,161.8,26.9,214.5,28,0.5000,,
2012,South West,Winter,0,0,0,0,1,0,0,0,0,0,0,5.76,321,44.2,162,20.2,0.1667,,
2012,West Midlands,Winter,0,0,0,0,0,0,1,0,0,0,0,4.22,185.3,33.4,189.2,28.4,0.2000,,
2012,Yorkshire and The Humber,Winter,0,1,0,0,0,0,0,0,0,0,0,4.23,147.6,30.9,199.9,31.9,0.5000,,
2012,East Midlands,Spring,0,0,1,0,0,0,0,0,0,0,0,8.77,214.7,33.7,480.7,8.3,0.1250,,
2012,East of England,Spring,0,0,3,0,0,0,0,0,0,0,0,9.21,195,33.5,462.5,7.1,0.4286,,
2012,North West,Spring,0,0,1,0,0,1,0,0,0,0,0,8.28,237.8,33.8,477,8.4,0.1667,,
2012,Scotland,Spring,0,0,1,0,0,0,0,0,0,0,0,6.89,254.5,38.9,447,19.5,0.1429,,
2012,South East,Spring,0,0,0,0,0,1,1,0,0,0,0,9.62,203.1,32,521.8,6.7,0.1818,,
2012,South West,Spring,0,0,0,0,1,0,0,0,0,0,0,9,263.8,34.4,508.3,5.6,0.2000,,
2012,Wales,Spring,0,0,1,0,0,0,0,0,0,0,0,8.41,277.7,35.7,481.6,7.5,0.2000,,
2012,West Midlands,Spring,2,0,1,0,0,0,0,0,0,0,0,8.77,214.7,33.7,480.7,8.3,0.3000,,
2012,Yorkshire and The Humber,Spring,0,0,0,0,1,0,0,0,0,0,0,8.15,224.9,31.6,476.9,9.7,0.2500,,
2012,East Midlands,Summer,0,0,1,0,0,0,0,0,0,0,1,13.74,352.6,50.1,419,0,0.2857,,
2012,East of England,Summer,0,0,0,0,1,0,0,0,0,0,0,16.01,254.1,41.2,507.2,0,0.0526,,
2012,South East,Summer,1,1,0,0,0,0,0,0,0,0,0,15.81,298,41.4,508.9,0,0.1250,,
2012,Wales,Summer,0,0,0,0,0,0,0,0,0,0,1,14.12,508.1,57.2,397.3,0,0.2500,,
2012,West Midlands,Summer,0,0,1,0,0,0,0,0,0,0,0,13.74,352.6,50.1,419,0,0.1667,,
2012,East Midlands,Autumn,1,0,0,0,0,0,0,0,0,0,0,7.95,287.5,36.8,316.7,7.2,0.2000,,
2012,East of England,Autumn,1,0,0,1,0,0,0,0,0,0,0,10.2,203,35.8,345.5,4.1,0.1538,,
2012,North East,Autumn,0,0,0,0,1,0,0,0,0,0,0,8.79,293,38.6,332.5,8.2,0.2500,,
2012,North West,Autumn,1,0,1,1,0,0,0,0,0,0,0,8.73,479.1,52.2,266.6,7.2,0.5000,,
2012,South East,Autumn,0,0,0,2,0,0,0,1,0,0,0,10.37,294,38.5,341.9,5.8,0.1250,,
2012,Yorkshire and The Humber,Autumn,1,0,0,0,0,0,0,0,0,0,0,8.79,293,38.6,332.5,8.2,1.0000,,
2013,East Midlands,Winter,0,0,1,0,0,0,0,0,0,0,0,4.54,247.1,36.9,174.5,42.8,1.0000,,
2013,East of England,Winter,0,0,0,1,0,1,0,0,0,0,0,3.55,176.1,34.3,161.8,38.1,0.5000,,
2013,South East,Winter,0,0,1,0,1,1,0,0,0,0,0,4.16,261.9,38.1,172.7,36.4,0.4286,,
2013,South West,Winter,0,0,2,0,0,0,0,0,0,0,0,4.64,449.4,50.1,165.9,29.4,0.2857,,
2013,Wales,Winter,0,0,1,0,0,1,0,0,0,0,0,3.84,481.4,50.9,149.3,38.6,0.3333,,
2013,North East,Spring,0,0,0,0,1,0,0,0,0,0,0,6.16,159.1,29.4,418.1,26.1,1.0000,,
2013,North West,Spring,0,0,0,0,0,0,0,1,0,0,0,5.86,219.5,34.9,422.5,31,0.1667,,
2013,South East,Spring,0,0,3,0,0,0,0,0,0,0,0,7.21,168.5,29.7,426.6,23.7,0.4286,,
2013,South West,Spring,1,0,0,0,0,0,0,0,0,0,0,6.64,229.9,30.7,462.3,24.8,0.1429,,
2013,Wales,Spring,0,0,0,0,1,0,0,0,0,0,0,5.97,255.4,34,442.8,29.9,0.3333,,
2013,East Midlands,Summer,0,0,1,0,0,0,0,0,0,0,1,14.25,156.2,23.7,624.9,0,0.3333,,
